"Xi'an Jiaotong-Liverpool University" OR "Xi'an Jiaotong Liverpool"~10 OR text:"XJTLU" OR "XJTLU Entrepreneur College taicang"~10 OR ("XJTLU Entrepreneur College" AND "taicang") NOT ("Xi'an Jiaotong-Liverpool University Affiliated School") Articles,
Total Hits: ,137,

Date,Media Type,Media Outlet,Title,Link,Author,Sentiment,Desktop Readership,Mobile Readership,Total Readership,Shares,Ad Equivalency,Article Impact,SEO Impact,Tags,Country,State,City,
12/18/2023,Blog,VpnGeo.com,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930698&startDate=1702807740000&endDate=1702980540000"", ""https://vpngeo.com/prnewswire?rkey=20231217AE95944&filter=26172"")",,positive,104,500,604,0,$1.13552,Low,4.0,,United States,California,San Francisco,
12/18/2023,News,Data & Storage Asean,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916931073&startDate=1702807740000&endDate=1702980540000"", ""https://datastorageasean.com/prnews/?rkey=20231217AE95944&filter=12173"")",,positive,5484,8513,13998,0,$26.31624,Low,38.0,,Malaysia,Selangor,Cyberjaya,
12/18/2023,News,T.U.B Investing,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916931195&startDate=1702807740000&endDate=1702980540000"", ""https://www.tubinvesting.com/p/blog-page_16.html?rkey=20231217AE95944&filter=13330"")",,positive,445,500,945,0,$1.7766,Low,18.0,,Singapore,,,
12/18/2023,News,jimmyspost.com,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916931982&startDate=1702790520000&endDate=1702963320000"", ""https://jimmyspost.com/register-now-for-the-citi-cup-fintech-competition"")",Jimmys Post,positive,231,432,664,0,$1.24832,Low,22.0,,United States,,,
12/18/2023,News,Castle Cove Investments,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930001&startDate=1702786140000&endDate=1702958940000"", ""http://cc-investments.com/prnewswire.php?rkey=20231217AE95944&filter=1637"")",,positive,291,91,382,0,$0.71816,Low,18.0,,United Kingdom,"London, City of",London,
12/18/2023,News,Business Chief,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930578&startDate=1702786140000&endDate=1702958940000"", ""https://businesschief.asia/pr_newswire?rkey=20231217AE95944&filter=22718"")",,neutral,5407,19240,24647,0,$46.33636,Low,32.0,,United Kingdom,Norfolk,Norwich,
12/18/2023,News,Business Daily Media,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930095&startDate=1702786140000&endDate=1702958940000"", ""https://www.businessdailymedia.com/news/press-releases?rkey=20231217AE95944&filter=24779"")",,positive,4645,4876,9522,0,$17.90136,Low,30.0,,Australia,New South Wales,Byron Bay,
12/18/2023,News,Central Charts,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916940584&startDate=1702786140000&endDate=1702958940000"", ""https://www.centralcharts.com/en/news/4493668-register-now-for-the-citi-cup-fintech-competition"")",,positive,50946,80616,131562,0,$247.33656,Low,43.0,,France,Hauts-de-Seine,Rueil-Malmaison,
12/18/2023,News,Daily Sun,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930013&startDate=1702782540000&endDate=1702955340000"", ""https://dailysun.com.au/news/press-releases?rkey=20231217AE95944&filter=24793"")",,positive,187,500,687,0,$1.29156,Low,16.0,,Australia,New South Wales,Byron Bay,
12/18/2023,News,Central Charts,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916940452&startDate=1702782540000&endDate=1702955340000"", ""https://www.centralcharts.com/fr/news/4493668-register-now-for-the-citi-cup-fintech-competition"")",,positive,50946,80616,131562,0,$247.33656,Low,43.0,,France,Hauts-de-Seine,Rueil-Malmaison,
12/18/2023,News,Kasi Broadcasting,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930150&startDate=1702778940000&endDate=1702951740000"", ""https://www.kasibroadcasting.com/pr-news-wire/?rkey=20231217AE95944&filter=25330"")",,positive,446,500,946,0,$1.77848,Low,11.0,,South Africa,Gauteng,Johannesburg,
12/18/2023,News,Rivers of Living Water Missions,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916931000&startDate=1702778940000&endDate=1702951740000"", ""https://www.rolwms.org/pr-newswire?rkey=20231217AE95944&filter=25324"")",,positive,359,500,859,0,$1.61492,Low,3.0,,Zambia,Copperbelt,,
12/17/2023,News,Banking Frontiers,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930797&startDate=1702766340000&endDate=1702939140000"", ""https://bankingfrontiers.com/pr-newswire/?rkey=20231217AE95944&filter=3021"")",,positive,1312,452,1765,0,$3.3182,Low,30.0,,India,Maharashtra,Mumbai (ex Bombay),
12/17/2023,News,Sangri Times,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930946&startDate=1702766340000&endDate=1702939140000"", ""https://en.sangritimes.com/prnewswire?rkey=20231217AE95944&filter=21009"")",,positive,1431,500,1931,0,$3.63028,Low,10.0,,India,Rajasthan,Jaipur,
12/17/2023,News,mediabulletins.com,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930068&startDate=1702766340000&endDate=1702939140000"", ""http://mediabulletins.com/pr-newswire/?rkey=20231217AE95944&filter=4605"")",,positive,1089,500,1589,0,$2.98732,Low,32.0,,United States,,,
12/17/2023,News,Digital Conqurer,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930984&startDate=1702766340000&endDate=1702939140000"", ""https://digitalconqurer.com/prnewswire/technology/?rkey=20231217AE95944&filter=3833"")",,positive,4330,6603,10933,0,$20.55404,Low,42.0,,India,Maharashtra,Nasik,
12/17/2023,News,techdash.in,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930451&startDate=1702766340000&endDate=1702939140000"", ""https://techdash.in/pr-newswire/?rkey=20231217AE95944&filter=26476"")",,positive,993,500,1493,0,$2.80684,Low,17.0,,India,,,
12/17/2023,News,VietMis,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930240&startDate=1702760940000&endDate=1702933740000"", ""https://www.vietmis.com/pr-newswire-en.html?rkey=20231217AE95944&filter=21405"")",,positive,701,50,751,0,$1.41188,Low,9.0,,Viet Nam,Ho Chi Minh [Sai Gon],Bèn Nghè,
12/17/2023,News,Vietnam Business Consulting,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930989&startDate=1702760940000&endDate=1702933740000"", ""https://vietnam-business-consulting.com/pr-newswire/?rkey=20231217AE95944&filter=21296"")",,positive,80,500,580,0,$1.0904,Low,6.0,,Viet Nam,Ho Chi Minh [Sai Gon],Ho Chi Minh City,
12/17/2023,News,Cambodian Association of Finance and Technology,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930972&startDate=1702760940000&endDate=1702933740000"", ""https://www.caftkh.org/prnewswire?rkey=20231217AE95944&filter=23182"")",,positive,159,500,659,0,$1.23892,Low,15.0,,Cambodia,Phnom Penh [Phnum Pénh],,
12/17/2023,News,Connext,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930287&startDate=1702760940000&endDate=1702933740000"", ""https://connext.co.id/news/?rkey=20231217AE95944&filter=17249"")",,positive,229,500,729,0,$1.37052,Low,14.0,,Indonesia,Jakarta Raya,Jakarta UTC1,
12/17/2023,News,Vietnam Manufacturing Expo,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930575&startDate=1702760940000&endDate=1702933740000"", ""https://www.vme-expo.com/en-gb/Pr_Newswire.html?rkey=20231217AE95944&filter=24275"")",,positive,334,2660,2994,0,$5.62872,Low,31.0,,Viet Nam,Ha Noi,Ha Tay,
12/17/2023,News,Bambuup,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916931180&startDate=1702760940000&endDate=1702933740000"", ""https://bambuup.com/news-by-prnewswire?rkey=20231217AE95944&filter=23620"")",,positive,386,3448,3834,0,$7.20792,Low,16.0,,Viet Nam,Ha Noi,,
12/17/2023,News,Tin Tức NFT,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930127&startDate=1702760940000&endDate=1702933740000"", ""https://tintucnft.com/pr-newswire?rkey=20231217AE95944&filter=23909"")",,positive,232,500,732,0,$1.37616,Low,8.0,,,,,
12/17/2023,News,Vietnam Innovative Startup Accelerator,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930366&startDate=1702760940000&endDate=1702933740000"", ""https://www.viisa.vn/show_iframe_component/1408044?rkey=20231217AE95944&filter=16275"")",,positive,199,500,699,0,$1.31412,Low,26.0,,Viet Nam,Ho Chi Minh [Sai Gon],Ho Chi Minh City,
12/17/2023,News,Saigon Economic Times,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930455&startDate=1702760940000&endDate=1702933740000"", ""https://english.thesaigontimes.vn/pr-newswire/?rkey=20231217AE95944&filter=23297"")",,positive,8951,6751,15703,0,$29.52164,Low,56.0,,Viet Nam,,,
12/17/2023,News,zonautara.com,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930290&startDate=1702760940000&endDate=1702933740000"", ""https://zonautara.com/news-release/?rkey=20231217AE95944&filter=19124"")",,neutral,3234,57214,60449,0,$113.64412,Low,25.0,,Indonesia,Sulawesi Utara,,
12/17/2023,News,PanaJournal,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916929922&startDate=1702760940000&endDate=1702933740000"", ""http://www.panajournal.com/pr-newswire-feeds/?rkey=20231217AE95944&filter=2570"")",,neutral,105,500,605,0,$1.1374,Low,21.0,,Indonesia,,,
12/17/2023,News,TechSign.in,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930372&startDate=1702760940000&endDate=1702933740000"", ""https://www.techsignin.com/pr-newswire/?rkey=20231217AE95944&filter=15812"")",,positive,15233,28319,43552,0,$81.87776,Low,34.0,,Viet Nam,,,
12/17/2023,News,Construction Property,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930321&startDate=1702760940000&endDate=1702933740000"", ""https://www.construction-property.com/prnewswire/?rkey=20231217AE95944&filter=12065"")",,positive,7156,10861,18018,N/A,$33.87384,Low,29.0,,Cambodia,,,
12/17/2023,News,The Inside Out,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930603&startDate=1702760940000&endDate=1702933740000"", ""https://insideout.vn/pr-newswire/?rkey=20231217AE95944&filter=24501"")",,positive,422,500,922,0,$1.73336,Low,18.0,,Viet Nam,,,
12/17/2023,News,Chuyên trang tin tức cập nhật 24/7 toàn cảnh về thị trường tiền điện tử,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930116&startDate=1702760940000&endDate=1702933740000"", ""https://ktsonchain.com/pr-newswire/?rkey=20231217AE95944&filter=24165"")",,positive,199,500,699,0,$1.31412,Low,2.0,,,,,
12/17/2023,News,Buletin Kpop Malaysia,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930179&startDate=1702757340000&endDate=1702930140000"", ""https://buletinkpop.com/prnewswire/?rkey=20231217AE95944&filter=21887"")",,neutral,500,500,1000,0,$1.88,Low,5.0,,Malaysia,Wilayah Persekutuan Kuala Lumpur,,
12/17/2023,News,Value Invest Asia,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916931094&startDate=1702757340000&endDate=1702930140000"", ""https://valueinvestasia.com/press-release/?rkey=20231217AE95944&filter=12669"")",,positive,697,3272,3970,0,$7.4636,Low,39.0,,Singapore,,,
12/17/2023,Blog,Property Insight,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916929927&startDate=1702757340000&endDate=1702930140000"", ""http://propertyinsight.com.my/newswire/?rkey=20231217AE95944&filter=8345"")",,positive,123,500,623,0,$1.17124,Low,28.0,,Malaysia,,,
12/17/2023,Blog,Noisy Noisy Man,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916929966&startDate=1702757340000&endDate=1702930140000"", ""https://blog.ademagnaye.com/prnewswire/?rkey=20231217AE95944&filter=20505"")",,positive,700,500,1200,0,$2.256,Low,34.0,,Philippines,,,
12/17/2023,News,Crisis Management Centre,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916929928&startDate=1702757340000&endDate=1702930140000"", ""https://www.crisismanagementcentre.com/prnewswire/?rkey=20231217AE95944&filter=12386"")",,positive,202,500,702,0,$1.31976,Low,13.0,,Malaysia,Wilayah Persekutuan Kuala Lumpur,,
12/17/2023,News,Top 10 of Asia,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930875&startDate=1702757340000&endDate=1702930140000"", ""https://www.top10asia.org/main/pr-newswire/?rkey=20231217AE95944&filter=15390"")",,positive,1256,3959,5215,0,$9.8042,Low,20.0,,Hong Kong,,,
12/17/2023,News,Entrepreneur Insight,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930900&startDate=1702757340000&endDate=1702930140000"", ""http://entrepreneurinsight.com.my/newswire/?rkey=20231217AE95944&filter=8351"")",,neutral,264,12,277,0,$0.52076,Low,28.0,,Malaysia,,,
12/17/2023,News,MAD Incubator,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930571&startDate=1702757340000&endDate=1702930140000"", ""https://www.incubator.com.my/prnewswire/?rkey=20231217AE95944&filter=11631"")",,positive,206,500,706,0,$1.32728,Low,27.0,,Malaysia,Selangor,Subang Jaya,
12/17/2023,News,The Vent Machine,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930988&startDate=1702757340000&endDate=1702930140000"", ""https://theventmachine.com/travel-tourism-hospitality-newswire/?rkey=20231217AE95944&filter=23096"")",,positive,456,2841,3298,0,$6.20024,Low,16.0,,Singapore,,,
12/17/2023,News,disruptivetechasia.com,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930994&startDate=1702757340000&endDate=1702930140000"", ""https://disruptivetechasia.com/prnews/?rkey=20231217AE95944&filter=23851"")",,neutral,188,500,688,0,$1.29344,Low,32.0,,Malaysia,,,
12/17/2023,News,Asia Bars & Restaurants,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916931087&startDate=1702757340000&endDate=1702930140000"", ""https://www.asia-bars.com/pr-newswire/?rkey=20231217AE95944&filter=13557"")",,positive,3390,4212,7603,0,$14.29364,Low,50.0,,Singapore,,,
12/17/2023,News,WAZZUP PHILIPPINES,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930992&startDate=1702757340000&endDate=1702930140000"", ""http://www.wazzup.ph/newswire/?rkey=20231217AE95944&filter=20274"")",,positive,2757,19770,22528,0,$42.35264,Low,26.0,,Philippines,Quezon,,
12/17/2023,Blog,The Finance.sg,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930393&startDate=1702757340000&endDate=1702930140000"", ""https://thefinance.sg/pr-newswire/?rkey=20231217AE95944&filter=19895"")",,positive,5994,88903,94897,0,$178.40636,Low,30.0,,Singapore,,,
12/17/2023,News,Weekender,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930071&startDate=1702757340000&endDate=1702930140000"", ""https://weekender.com.sg/pr-newswire-asia/?rkey=20231217AE95944&filter=24804"")",,positive,1592,18860,20453,0,$38.45164,Low,46.0,,Singapore,Singapore - No State,,
12/17/2023,News,Niaga Times | Business Times,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930633&startDate=1702757340000&endDate=1702930140000"", ""https://www.niagatimes.com/prnewswire/en/?rkey=20231217AE95944&filter=15437"")",,positive,650,376,1026,0,$1.92888,Low,21.0,,Malaysia,Wilayah Persekutuan Kuala Lumpur,,
12/17/2023,Blog,urbantechnoobs,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916931020&startDate=1702757340000&endDate=1702930140000"", ""https://www.urbantechnoobs.com/newswire?rkey=20231217AE95944&filter=20390"")",,positive,644,41,685,0,$1.2878,Low,12.0,,United States,,,
12/17/2023,News,Industrial Guide Asia,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930467&startDate=1702757340000&endDate=1702930140000"", ""https://www.iiga.news/newswire?rkey=20231217AE95944&filter=22840"")",,positive,369,645,1014,0,$1.90632,Low,13.0,,Singapore,Singapore - No State,,
12/17/2023,Blog,Franchise Manila,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930605&startDate=1702757340000&endDate=1702930140000"", ""https://franchisemanila.com/news/?rkey=20231217AE95944&filter=25241"")",,positive,4077,14450,18527,0,$34.83076,Low,58.0,,United States,,,
12/17/2023,News,SmallCapAsia,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930728&startDate=1702757340000&endDate=1702930140000"", ""https://www.smallcapasia.com/latest-news/?rkey=20231217AE95944&filter=13192"")",,positive,1182,4530,5712,0,$10.73856,Low,32.0,,Singapore,,,
12/17/2023,News,Fab! Luxe,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930978&startDate=1702757340000&endDate=1702930140000"", ""https://fabluxe.world/fab-news/?rkey=20231217AE95944&filter=23234"")",,positive,528,500,1028,0,$1.93264,Low,7.0,,Malaysia,Wilayah Persekutuan Kuala Lumpur,,
12/17/2023,News,rolfsuey.com,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930538&startDate=1702757340000&endDate=1702930140000"", ""https://rolfsuey.com/home/pr-newswire/?rkey=20231217AE95944&filter=20783"")",,positive,228,1357,1586,0,$2.98168,Low,19.0,,Singapore,,Singapore,
12/17/2023,News,Education + TVET Asia,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930639&startDate=1702757340000&endDate=1702930140000"", ""https://educationtvet.com/pr-newswire/?rkey=20231217AE95944&filter=19761"")",,positive,125,500,625,0,$1.175,Low,12.0,,Malaysia,Wilayah Persekutuan Kuala Lumpur,,
12/17/2023,News,Desfran,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916931171&startDate=1702757340000&endDate=1702930140000"", ""https://www.desfran.com/news/?rkey=20231217AE95944&filter=20065"")",,positive,806,4979,5785,0,$10.8758,Low,27.0,,Singapore,,,
12/17/2023,Blog,Re-ThinkWealth,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930881&startDate=1702757340000&endDate=1702930140000"", ""https://www.re-thinkwealth.com/industry-news-pr-newswire/?rkey=20231217AE95944&filter=22771"")",,positive,245,500,745,0,$1.4006,Low,27.0,,Singapore,,,
12/17/2023,News,ASEAN Briefing,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930549&startDate=1702757340000&endDate=1702930140000"", ""https://www.aseanbriefing.com/news/partnernews?rkey=20231217AE95944&filter=3394"")",,positive,64109,122654,186764,0,$351.11632,Medium,56.0,,Hong Kong,,,
12/17/2023,Blog,RainbowDiaries,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930293&startDate=1702757340000&endDate=1702930140000"", ""http://rainbowdiaries.com/latest-news-and-updates/?rkey=20231217AE95944&filter=22836"")",,positive,461,1678,2140,0,$4.0232,Low,24.0,,Singapore,,Singapore,
12/17/2023,News,The Malaysia Voice,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930715&startDate=1702757340000&endDate=1702930140000"", ""http://themalaysiavoice.com/prnewswire/?rkey=20231217AE95944&filter=22824"")",,positive,115,4761,4876,0,$9.16688,Low,10.0,,Malaysia,Wilayah Persekutuan Kuala Lumpur,,
12/17/2023,News,VCNewsNetwork,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916929918&startDate=1702757340000&endDate=1702930140000"", ""https://www.vcnewsnetwork.com/prnewswire/?rkey=20231217AE95944&filter=10424"")",,positive,70,500,570,0,$1.0716,Low,23.0,,Malaysia,Wilayah Persekutuan Kuala Lumpur,Selangkor,
12/17/2023,News,Association for Blockchain Asia,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930622&startDate=1702757340000&endDate=1702930140000"", ""https://associationblockchainasia.org/pr-newswire/?rkey=20231217AE95944&filter=26093"")",,positive,214,500,714,0,$1.34232,Low,14.0,,Singapore,Singapore - No State,,
12/17/2023,Blog,GOkpop Malaysia,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930204&startDate=1702757340000&endDate=1702930140000"", ""https://www.gokpop.co/p/prnewswire.html?rkey=20231217AE95944&filter=12055"")",,positive,1535,7763,9298,0,$17.48024,Low,21.0,,Malaysia,,,
12/17/2023,News,Vulcan Post,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916931176&startDate=1702757340000&endDate=1702930140000"", ""https://vulcanpost.com/newswire/?rkey=20231217AE95944&filter=25525"")",,positive,81850,578826,660676,0,$1242.07088,Medium,71.0,,Singapore,Singapore - No State,,
12/17/2023,News,The Adventures of Vesper,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930898&startDate=1702757340000&endDate=1702930140000"", ""https://tavesper.tech/pr-newswire/?rkey=20231217AE95944&filter=8389"")",,positive,3545,3162,6707,0,$12.60916,Low,32.0,,Malaysia,Wilayah Persekutuan Kuala Lumpur,,
12/17/2023,News,Business Diary Ph,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930963&startDate=1702757340000&endDate=1702930140000"", ""https://businessdiary.com.ph/businessnews/?rkey=20231217AE95944&filter=8945"")",,positive,14037,23274,37312,0,$70.14656,Low,46.0,,Philippines,,,
12/17/2023,Blog,Tech Slack,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916929948&startDate=1702757340000&endDate=1702930140000"", ""https://www.techslack.com/prnewswire?rkey=20231217AE95944&filter=6190"")",,positive,122,23,146,0,$0.27448,Low,23.0,,Malaysia,Selangor,Bangi,
12/17/2023,News,gadgetmtech.com,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930378&startDate=1702757340000&endDate=1702930140000"", ""https://gadgetmtech.com/prnewswire/?rkey=20231217AE95944&filter=18101"")",,positive,1061,3683,4745,0,$8.9206,Low,32.0,,United States,,,
12/17/2023,News,Blocklime,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916931043&startDate=1702757340000&endDate=1702930140000"", ""https://www.blocklime.com/press?rkey=20231217AE95944&filter=16766"")",,positive,242,500,742,0,$1.39496,Low,23.0,,,,,
