Date,Media Type,Media Outlet,Title,Link,Author,Sentiment,Desktop Readership,Mobile Readership,Total Readership,Shares,Ad Equivalency,Article Impact,SEO Impact,Language,Country,State,City,,,,
7/8/2024,News,Yahoo! Finance,"To save bees, scientists say focus on habitat, then pesticides",https://finance.yahoo.com/news/save-bees-scientists-focus-habitat-114900916.html,PR Newswire,neutral,19856173,29970943,49827117,0,"$93,674.98 ",Medium,95,English,United States,New York,New York,,,Row Labels,Count of Language
7/8/2024,News,DigitalMore.co,"To save bees, scientists say focus on habitat, then pesticides",https://digitalmore.co/to-save-bees-scientists-say-focus-on-habitat-then-pesticides,@digitalmoreco,neutral,2957,12817,15775,0,$29.66 ,Low,31,English,Thailand,Krung Thep Maha Nakhon [Bangkok],Bangkok,,,Croatian,1
7/8/2024,News,Thailand PR News,"To save bees, scientists say focus on habitat, then pesticides",https://thailandbusinessnews.net/press-release/to-save-bees-scientists-say-focus-on-habitat-then-pesticides/,,neutral,135,500,635,0,$1.19 ,Low,14,English,Thailand,Krung Thep Maha Nakhon [Bangkok],Bangkok,,,English,150
7/8/2024,News,Manila Times,"To save bees, scientists say focus on habitat, then pesticides",https://www.manilatimes.net/2024/07/08/public-square/pr-newswire/to-save-bees-scientists-say-focus-on-habitat-then-pesticides/1955838,PR Newswire,neutral,152676,1098529,1251206,0,"$2,352.27 ",Medium,68,English,Philippines,,,,,Italian,1
7/8/2024,News,Thailand Business Directory,"To save bees, scientists say focus on habitat, then pesticides",https://www.thailandbusinessdirectory.net/to-save-bees-scientists-say-focus-on-habitat-then-pesticides/,PR Newswire,neutral,454,500,954,0,$1.79 ,Low,21,English,Thailand,Krung Thep Maha Nakhon [Bangkok],Bangkok,,,Spanish,3
7/8/2024,News,IT News Online,"To save bees, scientists say focus on habitat, then pesticides",http://www.itnewsonline.com/PRNewswire/To-save-bees-scientists-say-focus-on-habitat-then-pesticides/998362,itnewsonline,neutral,3682,2579,6262,0,$11.77 ,Low,53,English,India,,,,,(blank),
7/8/2024,News,AsiaOne,"To save bees, scientists say focus on habitat, then pesticides, Business News - AsiaOne",https://www.asiaone.com/business/save-bees-scientists-say-focus-habitat-then-pesticides,,neutral,284688,1387740,1672428,0,"$3,144.16 ",Medium,82,English,Singapore,Singapore - No State,,,,Grand Total,155
7/8/2024,News,Thailand Business News,"To save bees, scientists say focus on habitat, then pesticides - Thailand Business News",https://www.thailand-business-news.com/thailand-prnews/to-save-bees-scientists-say-focus-on-habitat-then-pesticides,PR Newswire,neutral,8585,19958,28544,0,$53.66 ,Low,50,English,Thailand,,,,,,
7/8/2024,News,스페셜타임스,"To save bees, scientists say focus on habitat, then pesticides",http://www.specialtimes.co.kr/news/articleView.html?idxno=400059,PR Newswire,neutral,998,4590,5589,0,$10.51 ,Low,20,English,"Korea, Republic of",Gyeonggido [Kyonggi-do],Bucheon,,,,
7/8/2024,News,Wipnews-윕뉴스,"To save bees, scientists say focus on habitat, then pesticides",http://www.wip-news.com/news/articleView.html?idxno=24168,PR Newswire,neutral,1998,6339,8338,0,$15.68 ,Low,24,English,"Korea, Republic of",Daejeon Gwang'yeogsi [Taejon-Kwangyokshi],Daejeon,,,,
7/8/2024,News,Business Daily Media,"To save bees, scientists say focus on habitat, then pesticides",https://www.businessdailymedia.com/news/press-releases?rkey=20240708AE55841&filter=24779,,neutral,2218,465,2684,0,$5.05 ,Low,31,English,Australia,New South Wales,Byron Bay,,,,
7/8/2024,News,Daily Sun,"To save bees, scientists say focus on habitat, then pesticides",https://dailysun.com.au/news/press-releases?rkey=20240708AE55841&filter=24793,,neutral,279,500,779,0,$1.46 ,Low,12,English,Australia,New South Wales,Byron Bay,,,,
7/8/2024,News,Kalkine Media,"To save bees, scientists say focus on habitat, then pesticides",https://kalkinemedia.com/news/prnews/to-save-bees-scientists-say-focus-on-habitat-then-pesticides,info@kalkinemedia.com (Cision),neutral,7363,23104,30468,0,$57.28 ,Low,58,English,United Kingdom,"London, City of",London,,,,
7/8/2024,News,IT비즈뉴스(ITBizNews),"To save bees, scientists say focus on habitat, then pesticides",http://www.itbiznews.com/news/articleView.html?idxno=139220,,neutral,21742,9062,30805,0,$57.91 ,Low,30,English,"Korea, Republic of",Seoul Teugbyeolsi [Seoul-T'ukpyolshi],Seoul,,,,
7/8/2024,News,Rivers of Living Water Missions,"To save bees, scientists say focus on habitat, then pesticides",https://www.rolwms.org/pr-newswire?rkey=20240708AE55841&filter=25324,,neutral,612,3219,3831,0,$7.20 ,Low,2,English,Zambia,Copperbelt,,,,,
7/8/2024,News,Sangri Times,"To save bees, scientists say focus on habitat, then pesticides",https://en.sangritimes.com/prnewswire?rkey=20240708AE55841&filter=21009,,neutral,1185,5024,6210,0,$11.67 ,Low,10,English,India,Rajasthan,Jaipur,,,,
7/8/2024,News,Media Bulletins,"To save bees, scientists say focus on habitat, then pesticides",http://mediabulletins.com/pr-newswire/?rkey=20240708AE55841&filter=4605,,neutral,583,500,1083,0,$2.04 ,Low,32,English,India,Orissa,Bhubaneswar,,,,
7/8/2024,News,Digital Conqurer,"To save bees, scientists say focus on habitat, then pesticides",https://digitalconqurer.com/prnewswire/technology/?rkey=20240708AE55841&filter=3833,,neutral,3740,4898,8638,0,$16.24 ,Low,43,English,India,Maharashtra,Nasik,,,,
7/8/2024,News,techdash.in,"To save bees, scientists say focus on habitat, then pesticides",https://techdash.in/pr-newswire/?rkey=20240708AE55841&filter=26476,,neutral,821,500,1321,0,$2.48 ,Low,20,English,India,,,,,,
7/8/2024,News,The Saigon Times,"To save bees, scientists say focus on habitat, then pesticides",https://english.thesaigontimes.vn/pr-newswire/?rkey=20240708AE55841&filter=23297,,neutral,9839,12206,22046,0,$41.45 ,Low,57,English,Viet Nam,Ho Chi Minh [Sai Gon],Ho Chi Minh City,,,,
7/8/2024,News,Connext,"To save bees, scientists say focus on habitat, then pesticides",https://connext.co.id/news/?rkey=20240708AE55841&filter=17249,,neutral,185,500,685,0,$1.29 ,Low,14,English,Indonesia,Jakarta Raya,Jakarta UTC1,,,,
7/8/2024,News,Bambuup,"To save bees, scientists say focus on habitat, then pesticides",https://bambuup.com/news-by-prnewswire?rkey=20240708AE55841&filter=23620,,neutral,664,3448,4113,0,$7.73 ,Low,16,English,Viet Nam,Ha Noi,,,,,
7/8/2024,News,PanaJournal,"To save bees, scientists say focus on habitat, then pesticides",http://www.panajournal.com/pr-newswire-feeds/?rkey=20240708AE55841&filter=2570,,neutral,394,500,894,0,$1.68 ,Low,21,English,Indonesia,,,,,,
7/8/2024,News,Vietnam Innovative Startup Accelerator,"To save bees, scientists say focus on habitat, then pesticides",https://www.viisa.vn/show_iframe_component/1408044?rkey=20240708AE55841&filter=16275,,neutral,256,500,756,0,$1.42 ,Low,26,English,Viet Nam,Ho Chi Minh [Sai Gon],Ho Chi Minh City,,,,
7/8/2024,News,TechSign.in,"To save bees, scientists say focus on habitat, then pesticides",https://www.techsignin.com/pr-newswire/?rkey=20240708AE55841&filter=15812,,neutral,2550,9441,11991,0,$22.54 ,Low,35,English,Viet Nam,,,,,,
7/8/2024,News,The Inside Out,"To save bees, scientists say focus on habitat, then pesticides",https://insideout.vn/pr-newswire/?rkey=20240708AE55841&filter=24501,,neutral,235,500,735,0,$1.38 ,Low,13,English,Viet Nam,,,,,,
7/8/2024,News,Cambodian Association of Finance and Technology,"To save bees, scientists say focus on habitat, then pesticides",https://www.caftkh.org/prnewswire?rkey=20240708AE55841&filter=23182,,neutral,324,500,824,0,$1.55 ,Low,16,English,Cambodia,Phnom Penh [Phnum Pénh],,,,,
7/8/2024,News,zonautara.com,"To save bees, scientists say focus on habitat, then pesticides",https://zonautara.com/news-release/?rkey=20240708AE55841&filter=19124,,neutral,1134,23914,25048,0,$47.09 ,Low,24,English,Indonesia,Sulawesi Utara,,,,,
7/8/2024,News,VietMis,"To save bees, scientists say focus on habitat, then pesticides",https://www.vietmis.com/pr-newswire-en.html?rkey=20240708AE55841&filter=21405,,neutral,1495,95,1590,0,$2.99 ,Low,9,English,Viet Nam,Ho Chi Minh [Sai Gon],Bèn Nghè,,,,
7/8/2024,News,Vietnam Manufacturing Expo,"To save bees, scientists say focus on habitat, then pesticides",https://www.vme-expo.com/en-gb/Pr_Newswire.html?rkey=20240708AE55841&filter=24275,,neutral,464,9328,9793,0,$18.41 ,Low,31,English,Viet Nam,Ha Noi,Ha Tay,,,,
7/8/2024,News,Vietnam Business Consulting,"To save bees, scientists say focus on habitat, then pesticides",https://vietnam-business-consulting.com/pr-newswire/?rkey=20240708AE55841&filter=21296,,neutral,263,500,763,0,$1.43 ,Low,7,English,Viet Nam,Ho Chi Minh [Sai Gon],Ho Chi Minh City,,,,
7/8/2024,News,Construction Property,"To save bees, scientists say focus on habitat, then pesticides",https://www.construction-property.com/prnewswire/?rkey=20240708AE55841&filter=12065,,neutral,13355,23374,36729,0,$69.05 ,Low,29,English,Cambodia,,,,,,
7/8/2024,News,The Vent Machine,"To save bees, scientists say focus on habitat, then pesticides",https://theventmachine.com/travel-tourism-hospitality-newswire/?rkey=20240708AE55841&filter=23096,,neutral,788,519,1308,0,$2.46 ,Low,18,English,Singapore,,,,,,
7/8/2024,News,Crisis Management Centre,"To save bees, scientists say focus on habitat, then pesticides",https://www.crisismanagementcentre.com/prnewswire/?rkey=20240708AE55841&filter=12386,,neutral,216,8616,8833,0,$16.61 ,Low,13,English,Malaysia,Wilayah Persekutuan Kuala Lumpur,,,,,
7/8/2024,News,Asia Briefing,"To save bees, scientists say focus on habitat, then pesticides",https://www.asiabriefing.com/news/partnernews/?rkey=20240708AE55841&filter=3384,,neutral,3964,2908,6872,0,$12.92 ,Low,43,English,Hong Kong,,,,,,
7/8/2024,News,Vulcan Post,"To save bees, scientists say focus on habitat, then pesticides",https://vulcanpost.com/newswire/?rkey=20240708AE55841&filter=25525,,neutral,54970,234285,289256,0,$543.80 ,Medium,71,English,Singapore,Singapore - No State,,,,,
7/8/2024,News,MyEverydayTech.com,"To save bees, scientists say focus on habitat, then pesticides",https://www.myeverydaytech.com/prnewswire/?rkey=20240708AE55841&filter=18689,,neutral,770,4183,4954,0,$9.31 ,Low,29,English,Malaysia,,,,,,
7/8/2024,News,en.hteknologi.com,"To save bees, scientists say focus on habitat, then pesticides",https://en.hteknologi.com/prnewswire/?rkey=20240708AE55841&filter=24744,,neutral,108,500,608,0,$1.14 ,Low,24,English,Malaysia,,,,,,
7/8/2024,News,Bravo Filipino,"To save bees, scientists say focus on habitat, then pesticides",https://bravofilipino.com/pr-newswire/?rkey=20240708AE55841&filter=21607,,neutral,140,34,175,0,$0.33 ,Low,56,English,Philippines,,,,,,
7/8/2024,Blog,kayburn.blog,"To save bees, scientists say focus on habitat, then pesticides",https://www.kayburn.blog/pr-newswire-2/?rkey=20240708AE55841&filter=19475,,neutral,155,500,655,0,$1.23 ,Low,19,English,Australia,Western Australia,Perth,,,,
7/8/2024,News,NEW GRAVITē,"To save bees, scientists say focus on habitat, then pesticides",https://www.newgravite.com/news/?rkey=20240708AE55841&filter=19627,,neutral,752,500,1252,0,$2.35 ,Low,15,English,Singapore,,,,,,
7/8/2024,News,ASEAN Briefing,"To save bees, scientists say focus on habitat, then pesticides",https://www.aseanbriefing.com/news/partnernews?rkey=20240708AE55841&filter=3394,,neutral,41768,65462,107230,0,$201.59 ,Low,56,English,Hong Kong,,,,,,
7/8/2024,News,rolfsuey.com,"To save bees, scientists say focus on habitat, then pesticides",https://rolfsuey.com/home/pr-newswire/?rkey=20240708AE55841&filter=20783,,neutral,135,761,897,0,$1.69 ,Low,19,English,Singapore,,Singapore,,,,
7/8/2024,Blog,Property Insight,"To save bees, scientists say focus on habitat, then pesticides",http://propertyinsight.com.my/newswire/?rkey=20240708AE55841&filter=8345,,neutral,250,345,595,0,$1.12 ,Low,28,English,Malaysia,,,,,,
7/8/2024,Blog,Music Photo Life,"To save bees, scientists say focus on habitat, then pesticides",https://musicphotolife.com/news-prnewswire/?rkey=20240708AE55841&filter=23738,,neutral,1870,1676,3546,0,$6.67 ,Low,40,English,Singapore,Singapore - No State,,,,,
7/8/2024,News,The Wellness Insider,"To save bees, scientists say focus on habitat, then pesticides",https://thewellnessinsider.asia/prnewswire/?preview=true&rkey=20240708AE55841&filter=10625,,neutral,1043,7547,8590,0,$16.15 ,Low,25,English,Singapore,Singapore - No State,,,,,
7/8/2024,News,Asia Bars & Restaurants,"To save bees, scientists say focus on habitat, then pesticides",https://www.asia-bars.com/pr-newswire/?rkey=20240708AE55841&filter=13557,,neutral,2764,10657,13422,0,$25.23 ,Low,49,English,Singapore,,,,,,
7/8/2024,News,Weekender,"To save bees, scientists say focus on habitat, then pesticides",https://weekender.com.sg/pr-newswire-asia/?rkey=20240708AE55841&filter=24804,,neutral,3801,9157,12958,0,$24.36 ,Low,46,English,Singapore,Singapore - No State,,,,,
7/8/2024,News,Kitepunye Dot Com,"To save bees, scientists say focus on habitat, then pesticides",https://www.kitepunye.com/pr-news-en/?rkey=20240708AE55841&filter=17986,,neutral,287,167,455,0,$0.86 ,Low,28,English,Malaysia,,,,,,
7/8/2024,News,Disruptivetechnews,"To save bees, scientists say focus on habitat, then pesticides",https://disruptivetechnews.com/prnews/?rkey=20240708AE55841&filter=23851,,neutral,611,500,1111,0,$2.09 ,Low,20,English,Malaysia,,,,,,
7/8/2024,News,Infocommguide.com,"To save bees, scientists say focus on habitat, then pesticides",https://www.infocommguide.com/pr-newswire/?rkey=20240708AE55841&filter=5593,,neutral,75,500,575,0,$1.08 ,Low,10,English,Singapore,,,,,,
7/8/2024,News,Top 10 of Asia,"To save bees, scientists say focus on habitat, then pesticides",https://www.top10asia.org/main/pr-newswire/?rkey=20240708AE55841&filter=15390,,neutral,2291,3993,6284,0,$11.81 ,Low,21,English,Hong Kong,,,,,,
7/8/2024,News,HR ASIA,"To save bees, scientists say focus on habitat, then pesticides",https://hr.asia/prnewswire/?rkey=20240708AE55841&filter=3402,,neutral,5616,15147,20764,0,$39.04 ,Low,35,English,Malaysia,,,,,,
7/8/2024,News,The Malaysia Voice,"To save bees, scientists say focus on habitat, then pesticides",http://themalaysiavoice.com/prnewswire/?rkey=20240708AE55841&filter=22824,,neutral,240,11337,11578,0,$21.77 ,Low,14,English,Malaysia,Wilayah Persekutuan Kuala Lumpur,,,,,
7/8/2024,News,Blocklime,"To save bees, scientists say focus on habitat, then pesticides",https://www.blocklime.com/press?rkey=20240708AE55841&filter=16766,,neutral,198,500,698,0,$1.31 ,Low,22,English,Malaysia,Selangor,Cyberjaya,,,,
7/8/2024,News,Niaga Times | Business Times,"To save bees, scientists say focus on habitat, then pesticides",https://www.niagatimes.com/prnewswire/en/?rkey=20240708AE55841&filter=15437,,neutral,434,671,1106,0,$2.08 ,Low,20,English,Malaysia,Wilayah Persekutuan Kuala Lumpur,,,,,
7/8/2024,News,Industrial Guide Asia,"To save bees, scientists say focus on habitat, then pesticides",https://www.iiga.news/newswire?rkey=20240708AE55841&filter=22840,,neutral,888,645,1534,0,$2.88 ,Low,23,English,Singapore,Singapore - No State,,,,,
7/8/2024,Blog,Hpility SG,"To save bees, scientists say focus on habitat, then pesticides",https://www.hpility.sg/news/?rkey=20240708AE55841&filter=21063,,neutral,1436,529,1966,0,$3.70 ,Low,26,English,Singapore,,,,,,
7/8/2024,News,BorneoNews.Net,"To save bees, scientists say focus on habitat, then pesticides",http://borneonews.net/pr-newswire/?rkey=20240708AE55841&filter=16233,,neutral,1036,1547,2584,0,$4.86 ,Low,23,English,Malaysia,Sabah,,,,,
7/8/2024,News,100comments,"To save bees, scientists say focus on habitat, then pesticides",https://100comments.com/prnewswire/?rkey=20240708AE55841&filter=11563,,neutral,1105,4130,5236,0,$9.84 ,Low,31,English,Malaysia,Wilayah Persekutuan Kuala Lumpur,,,,,
7/8/2024,News,Association for Blockchain Asia,"To save bees, scientists say focus on habitat, then pesticides",https://associationblockchainasia.org/pr-newswire/?rkey=20240708AE55841&filter=26093,,neutral,143,500,643,0,$1.21 ,Low,14,English,Singapore,Singapore - No State,,,,,
7/8/2024,News,Malaysia Global Business Forum,"To save bees, scientists say focus on habitat, then pesticides",https://www.malaysiaglobalbusinessforum.com/prnewswire/?rkey=20240708AE55841&filter=6354,,neutral,166,91,257,0,$0.48 ,Low,27,English,Malaysia,Wilayah Persekutuan Kuala Lumpur,,,,,
7/8/2024,Blog,Noisy Noisy Man,"To save bees, scientists say focus on habitat, then pesticides",https://blog.ademagnaye.com/prnewswire/?rkey=20240708AE55841&filter=20505,,neutral,216,500,716,0,$1.35 ,Low,33,English,Philippines,,,,,,
7/8/2024,News,Business Diary Philippines,"To save bees, scientists say focus on habitat, then pesticides",https://businessdiary.com.ph/businessnews/?rkey=20240708AE55841&filter=8945,,neutral,5220,9104,14324,0,$26.93 ,Low,48,English,Philippines,,,,,,
7/8/2024,News,Education + TVET Asia,"To save bees, scientists say focus on habitat, then pesticides",https://educationtvet.com/pr-newswire/?rkey=20240708AE55841&filter=19761,,neutral,246,500,746,0,$1.40 ,Low,11,English,Malaysia,Wilayah Persekutuan Kuala Lumpur,,,,,
7/8/2024,Blog,GOkpop Malaysia,"To save bees, scientists say focus on habitat, then pesticides",https://www.gokpop.co/p/prnewswire.html?rkey=20240708AE55841&filter=12055,,neutral,636,205,841,0,$1.58 ,Low,20,English,Malaysia,,,,,,
7/8/2024,Blog,WalasTech,"To save bees, scientists say focus on habitat, then pesticides",https://walastech.com/prnewswire/?rkey=20240708AE55841&filter=20912,,neutral,184,1430,1614,0,$3.03 ,Low,25,English,Philippines,,,,,,
7/8/2024,News,Asean Food Travel,"To save bees, scientists say focus on habitat, then pesticides",https://aseanfoodtravel.com/prnewswire/?rkey=20240708AE55841&filter=19726,,neutral,206,500,706,0,$1.33 ,Low,17,English,Malaysia,Wilayah Persekutuan Kuala Lumpur,,,,,
7/8/2024,News,WAZZUP PHILIPPINES,"To save bees, scientists say focus on habitat, then pesticides",http://www.wazzup.ph/newswire/?rkey=20240708AE55841&filter=20274,,neutral,3790,3255,7046,0,$13.25 ,Low,26,English,Philippines,Quezon,,,,,
7/8/2024,News,gadgetmtech.com,"To save bees, scientists say focus on habitat, then pesticides",https://gadgetmtech.com/prnewswire/?rkey=20240708AE55841&filter=18101,,neutral,262,8,270,0,$0.51 ,Low,30,English,United States,,,,,,
7/8/2024,Blog,urbantechnoobs,"To save bees, scientists say focus on habitat, then pesticides",https://www.urbantechnoobs.com/newswire?rkey=20240708AE55841&filter=20390,,neutral,497,31,529,0,$0.99 ,Low,12,English,United States,,,,,,
7/8/2024,News,GISF (HK),"To save bees, scientists say focus on habitat, then pesticides",https://gisf.hk/index.php/en/market-info-eng/pr-newswire?rkey=20240708AE55841&filter=9826,,neutral,161,35,196,0,$0.37 ,Low,21,English,Hong Kong,,,,,,
7/8/2024,News,VCNewsNetwork,"To save bees, scientists say focus on habitat, then pesticides",https://www.vcnewsnetwork.com/prnewswire/?rkey=20240708AE55841&filter=10424,,neutral,78,500,578,0,$1.09 ,Low,23,English,Malaysia,Wilayah Persekutuan Kuala Lumpur,Selangkor,,,,
7/8/2024,Blog,Tech Slack,"To save bees, scientists say focus on habitat, then pesticides",https://www.techslack.com/prnewswire?rkey=20240708AE55841&filter=6190,,neutral,452,500,952,0,$1.79 ,Low,23,English,Malaysia,Selangor,Bangi,,,,
7/8/2024,News,Fab! Luxe,"To save bees, scientists say focus on habitat, then pesticides",https://fabluxe.world/fab-news/?rkey=20240708AE55841&filter=23234,,neutral,82,556,639,0,$1.20 ,Low,7,English,Malaysia,Wilayah Persekutuan Kuala Lumpur,,,,,
